Tiempo	Evento	ID	Pos_X	Pos_Y
12.9	Movimiento	0	267.7	164.5
12.9	Movimiento	1	61.3	522
13	Movimiento	0	269	165
13	Movimiento	1	61	520
13.1	Movimiento	0	270.3	165.5
13.1	Movimiento	1	60.7	518
13.2	Movimiento	0	271.6	166
13.2	Movimiento	1	60.4	516
13.3	Movimiento	0	272.9	166.5
13.3	Movimiento	1	60.1	514
13.4	Movimiento	0	274.2	167
13.4	Movimiento	1	59.8	512
13.5	Movimiento	0	275.5	167.5
13.5	Movimiento	1	59.5	510
13.6	Movimiento	0	276.8	168
13.6	Movimiento	1	59.2	508
13.7	Movimiento	0	278.1	168.5
13.7	Movimiento	1	58.9	506
13.8	Movimiento	0	279.4	169
13.8	Movimiento	1	58.6	504
13.9	Movimiento	0	280.7	169.5
13.9	Movimiento	1	58.3	502
14	Movimiento	0	282	170
14	Movimiento	1	58	500
14.1	Movimiento	0	283.3	170.5
14.1	Movimiento	1	57.7	498
14.2	Movimiento	0	284.6	171
14.2	Movimiento	1	57.4	496
14.3	Movimiento	0	285.9	171.5
14.3	Movimiento	1	57.1	494
14.4	Movimiento	0	287.2	172
14.4	Movimiento	1	56.8	492
14.5	Movimiento	0	288.5	172.5
14.5	Movimiento	1	56.5	490
14.6	Movimiento	0	289.8	173
14.6	Movimiento	1	56.2	488
14.7	Movimiento	0	291.1	173.5
14.7	Movimiento	1	55.9	486
14.8	Movimiento	0	292.4	174
14.8	Movimiento	1	55.6	484
14.9	Movimiento	0	293.7	174.5
14.9	Movimiento	1	55.3	482
15	Movimiento	0	295	175
15	Movimiento	1	55	480
15.1	Movimiento	0	296.3	175.5
15.1	Movimiento	1	54.7	478
15.2	Movimiento	0	297.6	176
15.2	Movimiento	1	54.4	476
15.3	Movimiento	0	298.9	176.5
15.3	Movimiento	1	54.1	474
15.4	Movimiento	0	300.2	177
15.4	Movimiento	1	53.8	472
15.5	Movimiento	0	301.5	177.5
15.5	Movimiento	1	53.5	470
15.6	Movimiento	0	302.8	178
15.6	Movimiento	1	53.2	468
15.7	Movimiento	0	304.1	178.5
15.7	Movimiento	1	52.9	466
15.8	Movimiento	0	305.4	179
15.8	Movimiento	1	52.6	464
15.9	Movimiento	0	306.7	179.5
15.9	Movimiento	1	52.3	462
16	Movimiento	0	308	180
16	Movimiento	1	52	460
16.1	Movimiento	0	309.3	180.5
16.1	Movimiento	1	51.7	458
16.2	Movimiento	0	310.6	181
16.2	Movimiento	1	51.4	456
16.3	Movimiento	0	311.9	181.5
16.3	Movimiento	1	51.1	454
16.4	Movimiento	0	313.2	182
16.4	Movimiento	1	50.8	452
16.5	Movimiento	0	314.5	182.5
16.5	Movimiento	1	50.5	450
16.6	Movimiento	0	315.8	183
16.6	Movimiento	1	50.2	448
16.7	Movimiento	0	317.1	183.5
16.7	Movimiento	1	49.9	446
16.8	Movimiento	0	318.4	184
16.8	Movimiento	1	49.6	444
16.9	Movimiento	0	319.7	184.5
16.9	Movimiento	1	49.3	442
17	Movimiento	0	321	185
17	Movimiento	1	49	440
17.1	Movimiento	0	322.3	185.5
17.1	Movimiento	1	48.7	438
17.2	Movimiento	0	323.6	186
17.2	Movimiento	1	48.4	436
17.3	Movimiento	0	324.9	186.5
17.3	Movimiento	1	48.1	434
17.4	Movimiento	0	326.2	187
17.4	Movimiento	1	47.8	432
17.5	Movimiento	0	327.5	187.5
17.5	Movimiento	1	47.5	430
17.6	Movimiento	0	328.8	188
17.6	Movimiento	1	47.2	428
17.7	Movimiento	0	330.1	188.5
17.7	Movimiento	1	46.9	426
17.8	Movimiento	0	331.4	189
17.8	Movimiento	1	46.6	424
17.9	Movimiento	0	332.7	189.5
17.9	Movimiento	1	46.3	422
18	Movimiento	0	334	190
18	Movimiento	1	46	420
18.1	Movimiento	0	335.3	190.5
18.1	Movimiento	1	45.7	418
18.2	Movimiento	0	336.6	191
18.2	Movimiento	1	45.4	416
18.3	Movimiento	0	337.9	191.5
18.3	Movimiento	1	45.1	414
18.4	Movimiento	0	339.2	192
18.4	Movimiento	1	44.8	412
18.5	Movimiento	0	340.5	192.5
18.5	Movimiento	1	44.5	410
18.6	Movimiento	0	341.8	193
18.6	Movimiento	1	44.2	408
18.7	Movimiento	0	343.1	193.5
18.7	Movimiento	1	43.9	406
18.8	Movimiento	0	344.4	194
18.8	Movimiento	1	43.6	404
18.9	Movimiento	0	345.7	194.5
18.9	Movimiento	1	43.3	402
19	Movimiento	0	347	195
19	Movimiento	1	43	400
19.1	Movimiento	0	348.3	195.5
19.1	Movimiento	1	42.7	398
19.2	Movimiento	0	349.6	196
19.2	Movimiento	1	42.4	396
19.3	Movimiento	0	350.9	196.5
19.3	Movimiento	1	42.1	394
19.4	Movimiento	0	352.2	197
19.4	Movimiento	1	41.8	392
19.5	Movimiento	0	353.5	197.5
19.5	Movimiento	1	41.5	390
19.6	Movimiento	0	354.8	198
19.6	Movimiento	1	41.2	388
19.7	Movimiento	0	356.1	198.5
19.7	Movimiento	1	40.9	386
19.8	Movimiento	0	357.4	199
19.8	Movimiento	1	40.6	384
19.9	Movimiento	0	358.7	199.5
19.9	Movimiento	1	40.3	382
20	Movimiento	0	360	200
20	Movimiento	1	40	380
20.1	Movimiento	0	361.3	200.5
20.1	Movimiento	1	39.7	378
20.2	Movimiento	0	362.6	201
20.2	Movimiento	1	39.4	376
20.3	Movimiento	0	363.9	201.5
20.3	Movimiento	1	39.1	374
20.4	Movimiento	0	365.2	202
20.4	Movimiento	1	38.8	372
20.5	Movimiento	0	366.5	202.5
20.5	Movimiento	1	38.5	370
20.6	Movimiento	0	367.8	203
20.6	Movimiento	1	38.2	368
20.7	Movimiento	0	369.1	203.5
20.7	Movimiento	1	37.9	366
20.8	Movimiento	0	370.4	204
20.8	Movimiento	1	37.6	364
20.9	Movimiento	0	371.7	204.5
20.9	Movimiento	1	37.3	362
21	Movimiento	0	373	205
21	Movimiento	1	37	360
21.1	Movimiento	0	374.3	205.5
21.1	Movimiento	1	36.7	358
21.2	Movimiento	0	375.6	206
21.2	Movimiento	1	36.4	356
21.3	Movimiento	0	376.9	206.5
21.3	Movimiento	1	36.1	354
21.4	Movimiento	0	378.2	207
21.4	Movimiento	1	35.8	352
21.5	Movimiento	0	379.5	207.5
21.5	Movimiento	1	35.5	350
21.6	Movimiento	0	380.8	208
21.6	Movimiento	1	35.2	348
21.7	Movimiento	0	382.1	208.5
21.7	Movimiento	1	34.9	346
21.8	Movimiento	0	383.4	209
21.8	Movimiento	1	34.6	344
21.9	Movimiento	0	384.7	209.5
21.9	Movimiento	1	34.3	342
22	Movimiento	0	386	210
22	Movimiento	1	34	340
22.1	Movimiento	0	387.3	210.5
22.1	Movimiento	1	33.7	338
22.2	Movimiento	0	388.6	211
22.2	Movimiento	1	33.4	336
22.3	Movimiento	0	389.9	211.5
22.3	Movimiento	1	33.1	334
22.4	Movimiento	0	391.2	212
22.4	Movimiento	1	32.8	332
22.5	Movimiento	0	392.5	212.5
22.5	Movimiento	1	32.5	330
22.6	Movimiento	0	393.8	213
22.6	Movimiento	1	32.2	328
22.7	Movimiento	0	395.1	213.5
22.7	Movimiento	1	31.9	326
22.8	Movimiento	0	396.4	214
22.8	Movimiento	1	31.6	324
22.9	Movimiento	0	397.7	214.5
22.9	Movimiento	1	31.3	322
23	Movimiento	0	399	215
23	Movimiento	1	31	320
23.1	Movimiento	0	400.3	215.5
23.1	Movimiento	1	30.7	318
23.2	Movimiento	0	401.6	216
23.2	Movimiento	1	30.4	316
23.3	Movimiento	0	402.9	216.5
23.3	Movimiento	1	30.1	314
23.4	Movimiento	0	404.2	217
23.4	Movimiento	1	29.8	312
23.5	Movimiento	0	405.5	217.5
23.5	Movimiento	1	29.5	310
23.6	Movimiento	0	406.8	218
23.6	Movimiento	1	29.2	308
23.7	Movimiento	0	408.1	218.5
23.7	Movimiento	1	28.9	306
23.8	Movimiento	0	409.4	219
23.8	Movimiento	1	28.6	304
23.9	Movimiento	0	410.7	219.5
23.9	Movimiento	1	28.3	302
24	Movimiento	0	412	220
24	Movimiento	1	28	300
24.1	Movimiento	0	413.3	220.5
24.1	Movimiento	1	27.7	298
24.2	Movimiento	0	414.6	221
24.2	Movimiento	1	27.4	296
24.3	Movimiento	0	415.9	221.5
24.3	Movimiento	1	27.1	294
24.4	Movimiento	0	417.2	222
24.4	Movimiento	1	26.8	292
24.5	Movimiento	0	418.5	222.5
24.5	Movimiento	1	26.5	290
24.6	Movimiento	0	419.8	223
24.6	Movimiento	1	26.2	288
24.7	Movimiento	0	421.1	223.5
24.7	Movimiento	1	25.9	286
24.8	Movimiento	0	422.4	224
24.8	Movimiento	1	25.6	284
24.9	Movimiento	0	423.7	224.5
24.9	Movimiento	1	25.3	282
25	Movimiento	0	425	225
25	Movimiento	1	25	280
25.1	Movimiento	0	426.3	225.5
25.1	Movimiento	1	24.7	278
25.2	Movimiento	0	427.6	226
25.2	Movimiento	1	24.4	276
25.3	Movimiento	0	428.9	226.5
25.3	Movimiento	1	24.1	274
25.4	Movimiento	0	430.2	227
25.4	Movimiento	1	23.8	272
25.5	Movimiento	0	431.5	227.5
25.5	Movimiento	1	23.5	270
25.6	Movimiento	0	432.8	228
25.6	Movimiento	1	23.2	268
25.7	Movimiento	0	434.1	228.5
25.7	Movimiento	1	22.9	266
25.8	Movimiento	0	435.4	229
25.8	Movimiento	1	22.6	264
25.9	Movimiento	0	436.7	229.5
25.9	Movimiento	1	22.3	262
26	Movimiento	0	438	230
26	Movimiento	1	22	260
26.1	Movimiento	0	439.3	230.5
26.1	Movimiento	1	21.7	258
26.2	Movimiento	0	440.6	231
26.2	Movimiento	1	21.4	256
26.3	Movimiento	0	441.9	231.5
26.3	Movimiento	1	21.1	254
26.4	Movimiento	0	443.2	232
26.4	Movimiento	1	20.8	252
26.5	Movimiento	0	444.5	232.5
26.5	Movimiento	1	20.5	250
26.6	Movimiento	0	445.8	233
26.6	Movimiento	1	20.2	248
26.7	Movimiento	0	447.1	233.5
26.7	Movimiento	1	19.9	246
26.8	Movimiento	0	448.4	234
26.8	Movimiento	1	19.6	244
26.9	Movimiento	0	449.7	234.5
26.9	Movimiento	1	19.3	242
27	Movimiento	0	451	235
27	Movimiento	1	19	240
27.1	Movimiento	0	452.3	235.5
27.1	Movimiento	1	18.7	238
27.2	Movimiento	0	453.6	236
27.2	Movimiento	1	18.4	236
27.3	Movimiento	0	454.9	236.5
27.3	Movimiento	1	18.1	234
27.4	Movimiento	0	456.2	237
27.4	Movimiento	1	17.8	232
27.5	Movimiento	0	457.5	237.5
27.5	Movimiento	1	17.5	230
27.6	Movimiento	0	458.8	238
27.6	Movimiento	1	17.2	228
27.7	Movimiento	0	460.1	238.5
27.7	Movimiento	1	16.9	226
27.8	Movimiento	0	461.4	239
27.8	Movimiento	1	16.6	224
27.9	Movimiento	0	462.7	239.5
27.9	Movimiento	1	16.3	222
28	Movimiento	0	464	240
28	Movimiento	1	16	220
28.1	Movimiento	0	465.3	240.5
28.1	Movimiento	1	15.7	218
28.2	Movimiento	0	466.6	241
28.2	Movimiento	1	15.4	216
28.3	Movimiento	0	467.9	241.5
28.3	Movimiento	1	15.1	214
28.4	Movimiento	0	469.2	242
28.4	Movimiento	1	14.8	212
28.5	Movimiento	0	470.5	242.5
28.5	Movimiento	1	14.5	210
28.6	Movimiento	0	471.8	243
28.6	Movimiento	1	14.2	208
28.7	Movimiento	0	473.1	243.5
28.7	Movimiento	1	13.9	206
28.8	Movimiento	0	474.4	244
28.8	Movimiento	1	13.6	204
28.9	Movimiento	0	475.7	244.5
28.9	Movimiento	1	13.3	202
29	Movimiento	0	477	245
29	Movimiento	1	13	200
29.1	Movimiento	0	478.3	245.5
29.1	Movimiento	1	12.7	198
29.2	Movimiento	0	479.6	246
29.2	Movimiento	1	12.4	196
29.3	Movimiento	0	480.9	246.5
29.3	Movimiento	1	12.1	194
29.4	Movimiento	0	482.2	247
29.4	Movimiento	1	11.8	192
29.5	Movimiento	0	483.5	247.5
29.5	Movimiento	1	11.5	190
29.6	Movimiento	0	484.8	248
29.6	Movimiento	1	11.2	188
29.7	Movimiento	0	486.1	248.5
29.7	Movimiento	1	10.9	186
29.8	Movimiento	0	487.4	249
29.8	Movimiento	1	10.6	184
29.9	Movimiento	0	488.7	249.5
29.9	Movimiento	1	10.3	182
30	Movimiento	0	490	250
30	Movimiento	1	10	180
30.1	Movimiento	0	491.3	250.5
30.1	Movimiento	1	9.7	178
30.1	Colision_Pared_X	-	9.7	178
30.2	Movimiento	0	492.6	251
30.2	Movimiento	1	10	176
30.3	Movimiento	0	493.9	251.5
30.3	Movimiento	1	10.3	174
30.4	Movimiento	0	495.2	252
30.4	Movimiento	1	10.6	172
30.5	Movimiento	0	496.5	252.5
30.5	Movimiento	1	10.9	170
30.6	Movimiento	0	497.8	253
30.6	Movimiento	1	11.2	168
30.7	Movimiento	0	499.1	253.5
30.7	Movimiento	1	11.5	166
30.8	Movimiento	0	500.4	254
30.8	Movimiento	1	11.8	164
30.9	Movimiento	0	501.7	254.5
30.9	Movimiento	1	12.1	162
31	Movimiento	0	503	255
31	Movimiento	1	12.4	160
31.1	Movimiento	0	504.3	255.5
31.1	Movimiento	1	12.7	158
31.2	Movimiento	0	505.6	256
31.2	Movimiento	1	13	156
31.3	Movimiento	0	506.9	256.5
31.3	Movimiento	1	13.3	154
31.4	Movimiento	0	508.2	257
31.4	Movimiento	1	13.6	152
31.5	Movimiento	0	509.5	257.5
31.5	Movimiento	1	13.9	150
31.6	Movimiento	0	510.8	258
31.6	Movimiento	1	14.2	148
31.7	Movimiento	0	512.1	258.5
31.7	Movimiento	1	14.5	146
31.8	Movimiento	0	513.4	259
31.8	Movimiento	1	14.8	144
31.9	Movimiento	0	514.7	259.5
31.9	Movimiento	1	15.1	142
32	Movimiento	0	516	260
32	Movimiento	1	15.4	140
32.1	Movimiento	0	517.3	260.5
32.1	Movimiento	1	15.7	138
32.2	Movimiento	0	518.6	261
32.2	Movimiento	1	16	136
32.3	Movimiento	0	519.9	261.5
32.3	Movimiento	1	16.3	134
32.4	Movimiento	0	521.2	262
32.4	Movimiento	1	16.6	132
32.5	Movimiento	0	522.5	262.5
32.5	Movimiento	1	16.9	130
32.6	Movimiento	0	523.8	263
32.6	Movimiento	1	17.2	128
32.7	Movimiento	0	525.1	263.5
32.7	Movimiento	1	17.5	126
32.8	Movimiento	0	526.4	264
32.8	Movimiento	1	17.8	124
32.9	Movimiento	0	527.7	264.5
32.9	Movimiento	1	18.1	122
33	Movimiento	0	529	265
33	Movimiento	1	18.4	120
33.1	Movimiento	0	530.3	265.5
33.1	Movimiento	1	18.7	118
33.2	Movimiento	0	531.6	266
33.2	Movimiento	1	19	116
33.3	Movimiento	0	532.9	266.5
33.3	Movimiento	1	19.3	114
33.4	Movimiento	0	534.2	267
33.4	Movimiento	1	19.6	112
33.5	Movimiento	0	535.5	267.5
33.5	Movimiento	1	19.9	110
33.6	Movimiento	0	536.8	268
33.6	Movimiento	1	20.2	108
33.7	Movimiento	0	538.1	268.5
33.7	Movimiento	1	20.5	106
33.8	Movimiento	0	539.4	269
33.8	Movimiento	1	20.8	104
33.9	Movimiento	0	540.7	269.5
33.9	Movimiento	1	21.1	102
34	Movimiento	0	542	270
34	Movimiento	1	21.4	100
34.1	Movimiento	0	543.3	270.5
34.1	Movimiento	1	21.7	98
34.2	Movimiento	0	544.6	271
34.2	Movimiento	1	22	96
34.3	Movimiento	0	545.9	271.5
34.3	Movimiento	1	22.3	94
34.4	Movimiento	0	547.2	272
34.4	Movimiento	1	22.6	92
34.5	Movimiento	0	548.5	272.5
34.5	Movimiento	1	22.9	90
34.6	Movimiento	0	549.8	273
34.6	Movimiento	1	23.2	88
34.7	Movimiento	0	551.1	273.5
34.7	Movimiento	1	23.5	86
34.8	Movimiento	0	552.4	274
34.8	Movimiento	1	23.8	84
34.9	Movimiento	0	553.7	274.5
34.9	Movimiento	1	24.1	82
35	Movimiento	0	555	275
35	Movimiento	1	24.4	80
35.1	Movimiento	0	556.3	275.5
35.1	Movimiento	1	24.7	78
35.2	Movimiento	0	557.6	276
35.2	Movimiento	1	25	76
35.3	Movimiento	0	558.9	276.5
35.3	Movimiento	1	25.3	74
35.4	Movimiento	0	560.2	277
35.4	Movimiento	1	25.6	72
35.5	Movimiento	0	561.5	277.5
35.5	Movimiento	1	25.9	70
35.6	Movimiento	0	562.8	278
35.6	Movimiento	1	26.2	68
35.7	Movimiento	0	564.1	278.5
35.7	Movimiento	1	26.5	66
35.8	Movimiento	0	565.4	279
35.8	Movimiento	1	26.8	64
35.9	Movimiento	0	566.7	279.5
35.9	Movimiento	1	27.1	62
36	Movimiento	0	568	280
36	Movimiento	1	27.4	60
36.1	Movimiento	0	569.3	280.5
36.1	Movimiento	1	27.7	58
36.2	Movimiento	0	570.6	281
36.2	Movimiento	1	28	56
36.3	Movimiento	0	571.9	281.5
36.3	Movimiento	1	28.3	54
36.4	Movimiento	0	573.2	282
36.4	Movimiento	1	28.6	52
36.5	Movimiento	0	574.5	282.5
36.5	Movimiento	1	28.9	50
36.6	Movimiento	0	575.8	283
36.6	Movimiento	1	29.2	48
36.7	Movimiento	0	577.1	283.5
36.7	Movimiento	1	29.5	46
36.8	Movimiento	0	578.4	284
36.8	Movimiento	1	29.8	44
36.9	Movimiento	0	579.7	284.5
36.9	Movimiento	1	30.1	42
37	Movimiento	0	581	285
37	Movimiento	1	30.4	40
37.1	Movimiento	0	582.3	285.5
37.1	Movimiento	1	30.7	38
37.2	Movimiento	0	583.6	286
37.2	Movimiento	1	31	36
37.3	Movimiento	0	584.9	286.5
37.3	Movimiento	1	31.3	34
37.4	Movimiento	0	586.2	287
37.4	Movimiento	1	31.6	32
37.5	Movimiento	0	587.5	287.5
37.5	Movimiento	1	31.9	30
37.6	Movimiento	0	588.8	288
37.6	Movimiento	1	32.2	28
37.7	Movimiento	0	590.1	288.5
37.7	Movimiento	1	32.5	26
37.8	Movimiento	0	591.4	289
37.8	Movimiento	1	32.8	24
37.9	Movimiento	0	592.7	289.5
37.9	Movimiento	1	33.1	22
38	Movimiento	0	594	290
38	Movimiento	1	33.4	20
38.1	Movimiento	0	595.3	290.5
38.1	Movimiento	1	33.7	18
38.2	Movimiento	0	596.6	291
38.2	Movimiento	1	34	16
38.3	Movimiento	0	597.9	291.5
38.3	Movimiento	1	34.3	14
38.4	Movimiento	0	599.2	292
38.4	Movimiento	1	34.6	12
